Year;Code;Name;;school_id;match_2010;match_2015;match_2023
2010;0;16. Mittelschule;;1;1;1;0
2010;1;35. Mittelschule;;2;1;1;1
2010;2;56. Mittelschule;;3;1;1;1
2010;3;84. Mittelschule;;4;1;0;0
2010;4;Apollonia von Wiedebach Mittelschule;;5;1;1;0
2010;5;Freie Mittelschule Dr. P. Rahn ;;6;1;1;1
2010;6;Lene-Voigt-Schule Mittelschule;;7;1;1;1
2010;7;Mittelschule Portitz;;8;1;1;0
2010;8;Paul Robson Mittelschule;;9;1;1;0
2010;9;Pestalozzi Mittelschule;;10;1;1;1
2010;10;Sportmittelschule;;11;1;1;1
2010;11;TÜV Mittelschule;;12;1;0;0
2010;20;F.A. Brockhaus Gymnasium;;13;1;1;1
2010;21;Heisenberg Gymnasium;;14;1;0;1
2010;22;Humboldt Gymnasium;;15;1;1;1
2010;23;Kant Gymnasium;;16;1;1;1
2010;24;Keppler Gymnasium;;17;1;1;1
2010;25;Max Klinger Gymnasium;;18;1;1;1
2010;26;Robert-Schumann Gymnasium;;19;1;1;0
2010;27;Schiller Gymnasium;;20;1;1;1
2010;28;Thomasschule - Gymnasium;;21;1;1;1
2010;30;ABTW Akademie Bauwesen, Technik und Wirtschaft gGmbH;;22;1;0;0
2010;31;BSZ 11, Henriette-Goldschmidt-Schule ;;23;1;1;1
2010;32;BSZ 2, Wirtschaft und Verwaltung;;24;1;1;0
2010;33;BSZ 2, Wirtschaft und Verwaltung, Außenstelle Dachsstr.1;;24;1;1;0
2010;34;BSZ 7 - Elektrotechnik;;26;1;1;1
2010;35;BSZ 7 - Außenstelle Neustädter Str. 1;;26;1;1;1
2010;36;BSZ 7 - Außenstelle Tauchaer-Str. 188;;26;1;1;1
2010;37;BSZ 9 - Gesundheits- und Sozialwesen;;29;1;1;0
2010;38;Dr. P. Rahn - Berufsfachschule;;30;1;0;0
2010;39;Gutenbergschule;;31;1;0;1
2010;40;Karl-Heine-Schule BSZ der Stadt Leipzig;;32;1;1;1
2010;41;Karl-Heine-Schule BSZ der Stadt Leipzig, Außenstelle Pansastr.31;;32;1;1;1
2010;42;Susanna Eger Schule BSZ der Stadt Leipzig;;34;1;0;1
2010;50;"Förderzentrum Sprachheilschule ""Käthe-Kollwitz""";;35;1;1;1
2010;51;Förderschule Grünau;;36;1;1;1
2010;52;Kurt Biedermann-Förderzentrum für Erziehungshilfe-Schulteil B;;37;1;0;1
2010;53;Kurt Biedermann-Förderzentrum für Erziehungshilfe-Schulteil C;;37;1;0;1
2010;54;Samuel-Heinicke-Schule - Förderschule für Gehörlose und Schwerhörige;;39;1;1;0
2015;104; Thomasschule Gymnasium;;21;1;1;1
2015;113;F.A. Brockhaus;;13;1;1;1
2015;127;Engelsdorf;;40;0;1;1
2015;130;Humboldt Gymnasium;;15;1;1;1
2015;140;Kant Gymnasium;;16;1;1;1
2015;152;Kepler Gymnasium;;17;1;1;1
2015;165;Max Klinger Gymnasium;;18;1;1;1
2015;171;Robert Schumann Gymnasium;;19;1;1;0
2015;190;Schiller Gymnasium;;20;1;1;1
2015;205;Sportoberschule;;11;1;1;1
2015;214;Schule Portitz - Oberschule;;8;1;1;0
2015;221;16. Oberschule;;1;1;1;0
2015;240;Freie Oberschule Dr. P. Rahn;;6;1;1;1
2015;241;Apollonia von Wiedebach Oberschule;;5;1;1;0
2015;243;Lene Voigt Oberschule;;7;1;1;1
2015;253;56. Oberschule;;3;1;1;1
2015;265;94. Oberschule;;41;0;1;1
2015;274;Pestalozzi Oberschule;;10;1;1;1
2015;281;Paul Robeson Oberschule;;9;1;1;0
2015;290;Freie Oberschule Gohlis;;42;0;1;0
2015;291;35. Oberschule;;2;1;1;1
2015;323;BSZ 11 Henriette Goldschmidt;;23;1;1;1
2015;332;BSZ 1 Wirtschaft und Verwaltung;;24;1;1;0
2015;353;BSZ Ruth Pfau Gesundheits- und Sozialwesen;;29;1;1;1
2015;364;BSZ Arwed Rossbach Bautechnik;;43;0;1;1
2015;370;BSZ Karl Heine;;32;1;1;1
2015;372;BSZ Karl Heine Außenstelle;;32;1;1;1
2015;393;BSZ 7 Elektrotechnik;;26;1;1;1
2015;422;Förderzentrum Sprachheilschule Käthe Kollwitz;;35;1;1;1
2015;430;Förderschule für Gehörlose und Schwerhörige Samuel Heinicke;;39;1;1;0
2015;465;Förderschule Grünau;;36;1;1;1
2023;;Rahn Education Freie Oberschule Leipzig;;6;1;1;1
2023;;Bildungszentrum für Gesundheitsberufe Leipzig GmbH (BzGL);;44;0;0;1
2023;;Aus- und WeiterbildungsSchulen des VMKB e. V. - Berufsfachschulen für Pflegeberufe;;45;0;0;1
2023;;Leipzig International School;;46;0;0;1
2023;;Johannes-Kepler-Schule;;17;1;1;1
2023;;Johanniter-Akademie Mitteldeutschland, Fachschule für Sozialwesen, Berufsfachschule für Notfallsanitäter;;47;0;0;1
2023;;Schule Ratzelstrasse;;48;0;0;1
2023;;20. Schule;;49;0;0;1
2023;;Goethegymnasium der Stadt Leipzig;;50;0;0;1
2023;;Robert-Blum-Schule - Berufliches Schulzentrum der Stadt Leipzig mit sonderpäd. Profil;;51;0;0;1
2023;;Ruth-Pfau-Schule, BSZ für Gesundheit und Sozialwesen der Stadt Leipzig\r\n;;29;1;1;1
2023;;Louise-Otto-Peters-Schule;;52;0;0;1
2023;;Schule Mölkau;;53;0;0;1
2023;;Euro-Schulen gemeinnützige Gesellschaft Sachsen mbH;;54;0;0;1
2023;;Kurt-Biedermann-Schule, Förderzentrum mit dem Förderschwerpunkt emotionale und soziale Entwicklung der Stadt Leipzig;;37;1;0;1
2023;;Friedrich-Schiller-Schule;;20;1;1;1
2023;;Schule Diderotstraße;;55;0;0;1
2023;;94. Schule;;41;0;1;1
2023;;Heinrich-Pestalozzi-Schule;;10;1;1;1
2023;;WBS Training Schulen gGmbH;;56;0;0;1
2023;;Werner-Heisenberg-Schule;;14;1;0;1
2023;;Humboldt-Schule;;15;1;1;1
2023;;Schule am Weißeplatz;;57;0;0;1
2023;;56. Schule;;3;1;1;1
2023;;Gymnasium Engelsdorf;;40;0;1;1
2023;;68. Schule;;58;0;0;1
2023;;Schule am Palmengarten;;59;0;0;1
2023;;Anton-Philipp-Reclam-Schule;;60;0;0;1
2023;;Schule Höltystraße;;61;0;0;1
2023;;35. Schule;;2;1;1;1
2023;;Deutsches Rotes Kreuz Bildungswerk Sachsen gGmbH;;62;0;0;1
2023;;Gerda-Taro-Schule;;63;0;0;1
2023;;Lene-Voigt-Schule;;7;1;1;1
2023;;Berufliches Schulzentrum 7 Elektrotechnik der Stadt Leipzig;;26;1;1;1
2023;;BBS Sachsen-Akademie für berufliche Aus- und Weiterbildung gGmbH;;64;0;0;1
2023;;Augsburger Lehmbaugesellschaft Leipzig gGmbH - Berufsfachschule für Physiotherapie;;65;0;0;1
2023;;Helmholtzschule;;66;0;0;1
2023;;Thomasschule;;21;1;1;1
2023;;Förderzentrum FS Sprache \Käthe Kollwitz\;;35;1;1;1
2023;;Immanuel-Kant-Schule;;16;1;1;1
2023;;Max-Klinger-Schule;;18;1;1;1
2023;;Arwed-Rossbach-Schule;;43;0;1;1
2023;;Ludwig Fresenius Schulen gGmbH;;67;0;0;1
2023;;Susanna-Eger-Schule - Berufliches Schulzentrum der Stadt Leipzig;;34;1;0;1
2023;;Christian-Gottlob-Frege-Schule;;68;0;0;1
2023;;Wolfgang-Mutzeck-Schule;;69;0;0;1
2023;;Adolph-Diesterweg-Schule, Förderzentrum mit dem Förderschwerpunkt Lernen der Stadt Leipzig;;70;0;0;1
2023;;Karl-Heine-Schule - Berufliches Schulzentrum der Stadt Leipzig;;32;1;1;1
2023;;Leibnizschule;;71;0;0;1
2023;;Gustav-Hertz-Schule;;72;0;0;1
2023;;Johann-Heinrich-Pestalozzi-Schule, Förderzentrum mit dem Förderschwerpunkt Lernen der Stadt Leipzig;;73;0;0;1
2023;;Ernst-Zinna-Schule, Förderzentrum;;74;0;0;1
2023;;Friedrich-Arnold-Brockhaus-Schule;;13;1;1;1
2023;;Fritz Gietzelt Schule;;75;0;0;1
2023;;Gutenbergschule - Berufliches Schulzentrum der Stadt Leipzig;;31;1;0;1
2023;;Berufsfachschule und Fachschule für Sozialwesen der DPFA-Schulen gGmbH;;76;0;0;1
2023;;Fachschule für Sozialwesen, der AWO Akademie Mitteldeutschland;;77;0;0;1
2023;;Ruth-Pfau-Schule, BSZ für Gesundheit und Sozialwesen der Stadt Leipzig;;29;1;1;1
2023;;Medizinische Berufsfachschulen am Universitätsklinikum Leipzig AöR;;78;0;0;1
2023;;Comenius-Schule, Förderzentrum mit dem Förderschwerpunkt Lernen der Stadt Leipzig;;36;1;1;1
2023;;SportOberschule Leipzig;;11;1;1;1
2023;;Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig;;23;1;1;1
2023;;Schule Engelsdorf, Förderzentrum mit den Förderschwerpunkten geistige Entwicklung und Lernen der Stadt Leipzig;;79;0;0;1
2023;;Sozialpflegeschulen Heimerer GmbH;;80;0;0;1
